Unique Authors
Isak Dinesen
Karen Blixen
Marieke Nijkamp
Steven Pinker
Cynthia Marshall
Kristen Simmons
Randy Shilts
William Greider
Gilbert Sorrentino
Jordan Sonnenblick
John Banville
David Ellis
L.E. Modesitt Jr.
Ben H. Winters
George R. Stewart
Thea Harrison
Diane Mowat
W.W. Jacobs
Jerry Bridges
Foster W. Cline
Jim Fay
Eric S. Nylund
Nathan  Hill
J. Sheridan Le Fanu
K.A. Linde
Craig Ferguson
Charlotte Rogan
Henryk Sienkiewicz
W.S. Kuniczak
Chris dLacey
Deborah Guarino
Steven Kellogg
Tony Horwitz
Robert Descharnes
Leigh Nichols
Laura Dave
Lori Lansens
Wiley Cash
Roland Smith
Guy de Maupassant
Norman Maclean
María Dueñas
Daniel Hahn
Kristan Higgins
Deborah Blum
Elizabeth Scott
Ananda Maitreya
Balangoda Ananda Maitreya Maitreya
Elisabeth Elliot
خالد الخميسي
Khaled Al Khamissi
Gail Tsukiyama
Sally   Thorne
Julia Heaberlin
Penny Reid
Amy Tintera
Gentry Lee
Jock
Francesco Francavilla
Jared K. Fletcher
Sal Cipriano
David   Baron
Laural Merlington
Paula Brackston
Katarina Bivald
Alice Menzies
Heather Dixon
Willy Lindwer
Deborah Rodriguez
Rachel Kushner
Gary Vaynerchuk
Lloyd C. Douglas
Gavin de Becker
Kelly Creagh
Sadegh Hedayat
D.P. Costello
Simon  Jones
R.L. Stine
Melinda Haynes
Danielle Steel
Fisher Amelie
Becky  Chambers
Jennifer Lynn Barnes
Jill Bolte Taylor
Iain Pears
Donny Dhirgantoro
PeachPit
Neil Shubin
Bob Ong
Linda Asher
Loung Ung
Owen  West
Betty Mahmoody
Darcie Chan
Jon Lee Anderson
Verna Aardema
Leo Dillon
Diane Dillon
منى الخميسي
Allan Pease
Barbara Pease
Farley Mowat
Merlin Holland
Cooks Illustrated Magazine
John Burgoyne
Carl Tremblay
Peter Clines
Laura C. Schlessinger
Fábio Moon
Gabriel Bá
Dave Stewart
Sean Konot
Brit Bennett
David Timson
Larry Correia
Christopher Isherwood
A. Meredith Walters
Eliza Wheeler
Joseph Fink
Jeffrey Cranor
Julie   Murphy
Eve Ensler
Gloria Steinem
Edmund White
Susan Mallery
Ronald A. Beers
Sylvain Neuvel
Barron Storey
Bill Sienkiewicz
Glenn Fabry
Milo Manara
Miguelanxo Prado
Olivia Goldsmith
Maggie OFarrell
Yōko Ogawa
Stephen Snyder
Niall Ferguson
Robert M. Durling
C.J. Bott
Denise Kiernan
Ed Gorman
John Bedford Lloyd
Mark Dunn
Paul Tremblay
Anne McLean
Rita WilliamsGarcia
Jason F. Wright
Blue Balliett
Dav Pilkey
George Beard
Harold Hutchins
Tasha Tudor
Paulo Freire
Myra Bergman Ramos
Donaldo Macedo
Richard Shaull
Brad Meltzer
Rags Morales
Michael Bair
Seth
Aaron Ehasz
Alison Wilgus
Amy Kim Ganter
Brian Ralph
Corey Lewis
Dave Roman
Elsa Garagarza
Ethan Spaulding
Frank Pittarese
J. Torres
Joaquim Dos Santos
Johane Matte
John OBryan
Joshua Hamilton
Justin Ridge
Kaite Mattila
May Chan
Rawles Marie Lumumba
Reagan Lodge
Tim Hedrick
Tom McWeeney
Margaret Sidney
Jessica Day George
Jim Bouton
Kelly Elliott
Julie Klassen
Michelle A. Valentine
C.S. Pacat
David Frankland
Richard Feynman
Paul Murray
Jessica Shirvington
Tony Kushner
Dorothy Koomson
Joseph Boyden
Khushwant Singh
Craig Silvey
Michael A. Singer
Marlon James
Nina LaCour
Thomas Piketty
Arthur Goldhammer
Kay Thompson
Hilary Knight
Peter Carey
Nathanael West
Alfred Kazin
Keri Arthur
John Darnielle
Richard DiLallo
Iris Chang
Jerry A. Coyne
Sarah Jane Hails
Jen Sincero
Nicky Charles
Chuck Wendig
Safiy alRahman alMubarakfuri
Sarah McCoy
Greg McKeown
Lisa Renee Jones
Sandi Lynn
Dorothy Kunhardt
Maria Simpson
Shelly Crane
Dian Fossey
Jeffery Hudson
Adelle Waldman
Matthew Norman
Linda Castillo
Michael Frayn
Alice Munro
Cornelius Ryan
C.J. Redwine
Mildred Benson
Taylor Caldwell
Mariana Zapata
Joseph Wambaugh
Kelly McGonigal
Richard K. Morgan
Paul  Edwards
Heinrich Böll
محمد اسماعیلu200cزاده
Richard Wilhelm
Cary F. Baynes
John Buchan
Peter Watts
Alexis de Tocqueville
Isaac Kramnick
Gerald Bevan
Erica Bauermeister
Roddy Doyle
Martin Amis
Chris Ryall
Joseph ONeill
Alan Bennett
بهرام مقدادی
Steve Niles
Ben Templesmith
Youssef Ziedan
Fritjof Capra
Elizabeth Eulberg
Renée Knight
Richard Dixon
Hiroyuki Takei
George Sher
Andrew  Smith
Melvin Burgess
Keigo Higashino
Alexander O. Smith
Niko Henrichon
William Zinsser
Thomas A. Harris
S.A. Bodeen
Boris Vian
Kimberly Lauren
Sarah MacLean
Martin Heidegger
Jonathan Kozol
Charlie Higson
Kenneth Oppel
Thomas Tryon
Colin Meloy
Carson Ellis
Daniel Tammet
Conor Grennan
Kaui Hart Hemmings
Natsumi Ando
Miyuki Kobayashi
Faith Hunter
Mary Kay Andrews
Craig Johnson
Sherwood Smith
Ilan Stavans
Ilsa J. Bick
Robert William Chapman
Tillie Cole
Keri Hulme
Michelle Paver
Geoff Taylor
Gavin Extence
J.G. Ballard
H.L. Mencken
Jeffrey Toobin
Sarah Jio
KyungSook Shin
신경숙
ChiYoung Kim
Booker T. Washington
Ishmael Reed
Laura Kaye
Albert Uderzo
Derek Hockridge
Robert Fulghum
Sarah Macdonald
Linda Kage
David Small
Jay Bonansinga
Jerzy Kosiński
Jonathan Haidt
Ilya Ilf
Eugene Petrov
Maurice Friedberg
John H.C. Richardson
Kimberly Kirberger
Megan Abbott
Alison Croggon
Simon R. Green
The Beatles
Paul McCartney
Ringo Starr
John Lennon
George Harrison
Christopher  Ryan
Cacilda Jethá
Annette Pollert
Vera B. Williams
Whitney G.
Chip Zdarsky
Sharon Kay Penman
Byron Katie
Stephen Mitchell
Sid Fleischman
Peter Sís
MinaLima
John A. Bertolini
Richard Rhodes
Brian Herbert
Kevin J. Anderson
Richard Koch
David V. Erdman
Katsuhiro Otomo
Yoko Umezawa
Linda M. York
Jo Duffy
Julie Maroh
William Least HeatMoon
Spencer W. Kimball
Anne Fortier
Gerard Way
Nate Piekos
Tony Ong
Lacey Weatherford
Scott Sigler
Leila Sales
Gloria Naylor
Jacob Wyatt
Siobhan Vivian
Tom Stoppard
Jim Kjelgaard
Carl Pfeuffer
Jaclyn Moriarty
Stephen R. Bissette
John Totleben
Rick Veitch
Ramsey Campbell
Laurie Thompson
Catherine Coulter
Robert Crais
James Lee Burke
Peter Shaffer
Sam Smith
Doug Grud
Livia E. BittonJackson
Ford Madox Ford
Kenneth Womack
William Baker
J.L. Bourne
Stephen Fry
John Corey Whaley
Shiv Khera
Gosho Aoyama
Joshilyn Jackson
L.A. Meyer
Phil Knight
Andrew Loomis
Tim Winton
Jack Ketchum
Natsuo Kirino
Philippa Pearce
Susan Einzig
Annie Dillard
Daron Acemoğlu
James A. Robinson
Daphne Merkin
Kathryn Lasky
Gary Taubes
John M. Barry
Paul Hattaway
Brother Yun
Saul Bellow
Kentaro Yabuki
E.D. Baker
Reginald Rose
David Mamet
Simon Bisley
Bernie Mireault
Ree Drummond
Tori Spelling
Julia Scheeres
Angela Marsons
Langston Hughes
QuinRose
Soumei Hoshino
Caroline Alexander
Jay McLean
LinManuel Miranda
Jeremy McCarter
Brian Lumley
Truddi Chase
Robert A. Phillips Jr.
Robison Wells
Amy Efaw
Mhairi McFarlane
Kevin D. Mitnick
William L. Simon
Steve Wozniak
Julianna Baggott
Robin Oliveira
Diane Duane
R.C.S. Libri
Robert Graysmith
Sandra Boynton
Graeme Base
Leslie Feinberg
Dean Karnazes
Alexandra Potter
Rajaa Alsanea
Carrie Vaughn
Ha Jin
Judith Guest
Jen Wang
Peter  May
Jerome Lawrence
Robert E.  Lee
Tony Hawks
Gary Jennings
Charlie Jane Anders
Jean Ferris
J.J. Abrams
Doug Dorst
Heather ONeill
Richard A. Knaak
Carolyn  Parkhurst
Ina May Gaskin
Katherine Allred
Dale Brown
Miriam Toews
Charles Stross
Rachel Maddow
Don Winslow
Stephanie Dray
Laura Kamoie
Cynthia Kadohata
Mike Carey
Peter Gross
Preeti Shenoy
Robert Hurley
Steven Naifeh
Gregory White Smith
Laurie Notaro
Michael Thomas Ford
Auguste Maquet
Mike Mullin
Kim Holden
Dorothy Gilman
Karen Miller
Christiane F.
Kai Hermann
Horst Rieck
John             Lewis
Andrew Aydin
Nate Powell
Hugh Laurie
R.K. Narayan
Mark Manson
James Grady
V.S. Naipaul
John Locke
Nicholas Carr
Martin Luther King Jr.
Clayborne Carson
Mineko Iwasaki
Rande Brown
James Tynion IV
Rafael Albuquerque
Jason Fabok
Becky Cloonan
Andy Clarke
Sandu Florea
Howard E. Wasdin
Stephen Templin
G.M.A. Grube
John M. Cooper
Gordon B. Hinckley
Helena Hunting
Jennifer Estep
John Galsworthy
Laurie Faria Stolarz
James Anderson
George Carlin
Firoozeh Dumas
Gene Wolfe
Georgette Heyer
Friedrich A. Hayek
William Pène du Bois
Donald A. Norman
Cathy Glass
Joanna Weaver
Leslye Walton
Anna Lee Waldo
Gemma Malley
Obert Skye
Stephen E. Robinson
Karen Chance
Lori Brighton
J. Michael Straczynski
Shane Davis
Sandra Hope
Barbara Ciardo
Rob Leigh
John Foxe
W. Grinton Berry
Rachel Gibson
Michael Dorris
Seanan McGuire
Robert Lynn Asprin
Lurlene McDaniel
Sandy   Hall
John Verdon
James L. Ferrell
John McCrea
Peter H. Reynolds
محمد عبد الرحمن العريفي
James Allworth
Karen Dillon
Jon Klassen
Françoise Sagan
Corban Addison
John Steakley
Ilon Wikland
Jill M. Morgan
Jacqueline Wilson
Nick Sharratt
Evan Wright
Hope Jahren
Patricia Gaffney
Emmy Laybourne
Martha Stewart
Teri Terry
Pramoedya Ananta Toer
Andrew Sinclair
David Scott Kastan
Jinsei Kataoka
Kazuma Kondou
Sidney Hook
Jack Fruchtman Jr.
David Farland
Alan Dean Foster
J.M. Darhower
Sara Pennypacker
Marla Frazee
Daniel Abraham
Cassie Dandridge Selleck
Joel Martinsen
Pepper Winters
Jim Benton
Liz Murray
John Gribbin
F. Paul Wilson
Chris Tebbetts
Laura Park
Hans Fallada
Michael Hofmann
Geoff Wilkes
Alwyn Hamilton
Joseph L. Henderson
Jolande Jacobi
John Freeman
MarieLouise von Franz
Eiji Yoshikawa
Charles Terry
Edwin O. Reischauer
Matthew      Lewis
Lynda Mullaly Hunt
Jim Cymbala
Dean Merrill
Megan Shepherd
Mark Carwardine
Arlette ElkaïmSartre
Annie CohenSolal
Carol Macomber
Scott Belsky
Rachel Isadora
Hannah Harrington
M.J. Arlidge
Kitty French
Jack Gantos
Ralph Waldo Emerson
Adele Faber
Elaine Mazlish
Kimberly Ann Coe
Joseph Stein
Jerry Bock
Sheldon Harnick
Sydney Taylor
Jane Harper
Charlotte Hughes
Anthony R. Ferris
J.C. Reed
Damon Knight
Robert A. Caro
Steven Hall
Andrew Solomon
Barbara Park
Denise Brunkus
Maud Hart Lovelace
Lois Lenski
Sara Zarr
James  Jones
Gerda Weissmann Klein
Nando Parrado
Vince Rause
Kimberly Brubaker Bradley
مرضیه ورشوساز
Zoë Heller
Dorothea Benton Frank
Anita Sengupta
G.P. Ching
Rhys Bowen
Elizabeth Haydon
Amin Maalouf
Russell Harris
NoViolet Bulawayo
Scott Cunningham
Cath Crowley
Cynthia Voigt
James Alexander Thom
Cristin Terrill
Kimberly Rae Miller
Kathleen Winsor
John  Stephens
Doug Stanton
Yuna Kagesaki
Patricia Polacco
Tiffany Reisz
William  Kennedy
Paul Theroux
Darick Robertson
Liz Moore
Lloyd Jones
Cate Tiernan
Søren Kierkegaard
Alastair Hannay
Amelia AtwaterRhodes
Thor Heyerdahl
Mohsin Hamid
Albert Einstein
Nigel Calder
Robert W. Lawson
David James Duncan
Shawn Achor
Philip Tan
Matthew J. Bruccoli
Tyler Oakley
Alessandra Torre
Laura Lippman
Laurence Sterne
Melvyn New
Peter Laslett
Raymond Geuss
David  Arnold
Nick Cutter
Stephen Tapscott
Georg Wilhelm Friedrich Hegel
A.V. Miller
John Niemeyer Findlay
Sarah Mlynowski
Julie Gregory
Paulette Jiles
Devdutt Pattanaik
Anthony Hope
Tammy Falkner
J.P. Delaney
Alex Kava
Allan Curless
Marie Force
Tayeb Salih
Denys JohnsonDavies
ÉricEmmanuel Schmitt
Harold S. Kushner
Philip G. Zimbardo
Nancy Pickard
Michael Pritchard
Rusty Young
Thomas McFadden
Fuyumi Soryo
Michelle Richmond
Patricia Crampton
Trina Schart Hyman
Elisabeth Naughton
Tan Twan Eng
Claudia Rankine
Sarah Prineas
Antonio Javier Caparo
Michael Azerrad
Guy Delisle
Wayne A. Grudem
Sarah Andersen
R. Scott Bakker
Kristin Kimball
Melissa Landers
Laura Ruby
Stephanie Garber
Cheryl Rainfield
Ahmad Fuadi
Rick Atkinson
Jo Walton
Garr Reynolds
Tom Sniegoski
Thomas E. Sniegoski
Scott  Hawkins
Jennifer L. Holm
Karen V. Kukil
Debra Dean
Hannu Rajaniemi
Ludwig Wittgenstein
Spencer Quinn
Caroline Knapp
Steven Callahan
Laurence Rees
Slavomir Rawicz
Durjoy Datta
Maanvi Ahuja
Robyn Carr
Ivan Doig
Steve Martini
Jim Thompson
Mary Elizabeth Braddon
Jodi Lynn Anderson
Amanda Foreman
A.C. Gaughen
Machado de Assis
Robert Shea
Robert Anton Wilson
Alexander Gordon Smith
Nancy Thayer
Poppy Z. Brite
Alan W. Watts
Kathleen E. Woodiwiss
Aya Nakahara
Pookie Rolf
Kristin Levine
Hidekaz Himaruya
José Maria de Eça de Queirós
Ester de Lemos
Amanda Grange
Miranda Hart
Maki Minami
Hiroshi Sakurazaka
桜坂洋
Joseph Reeder
Jonathan Harr
Jessica Park
Philip C. Stead
Erin E. Stead
Smith Henderson
Lisa Jackson
Erskine Caldwell
Lewis Nordan
Kate Summerscale
Loretta Chase
Glenn Beck
Cammie McGovern
Susan Abulhawa
Melissa Nathan
Misty Bernall
Rita Golden Gelman
Lorrie Moore
Lauren Blakely
Elizabeth Bard
Michael Pietsch
Confucius
D.C. Lau
Pamela Des Barres
Dave Navarro
Giuseppe Tomasi di Lampedusa
Paul Jenkins
Joe Quesada
Bill Jemas
Eileen Wilks
Sunny
Sara Douglass
Sandra Gulland
حسن الجندي
Adam Gidwitz
Alisa Valdes
Alisa ValdesRodriguez
Luke Rhinehart
Krista Ritchie
Becca Ritchie
Jill Dembowski
Elijah Wood
Spencer Locke
Eleanor Coerr
Ronald Himler
Josephine Tey
Anaïs Nin
غسان كنفاني
Eugène Vinaver
صلاح جاهين
يحيى حقي
Gene StrattonPorter
T.M. Frazier
Amy Bloom
Pierre A. Walker
Nancy Reagin
Ramachandra Guha
Ryan Holiday
Kate Grenville
Ben Carson
Linda Williams
Megan Lloyd
R.C. Sproul
Nancy E. Shaw
Margot Apple
Isai Kamen
Alain de Botton
J.B. Salsbury
Hazel Gaynor
Gary Keller
Jay Papasan
Simms Taback
Sue Heap
Omar Tyree
Alisa Kwitney
Paul Pen
Simon Bruni
Jodi Meadows
William Kamkwamba
Bryan Mealer
Katherine Addison
Adam Makos
Larry Alexander
Yoshitaka Amano
John Cheever
Neil Simon
V.S. Ramachandran
Sandra Blakeslee
Drew Barrymore
Mario Benedetti
Tamara Ireland Stone
Emma Vieceli
Leigh Dragoon
Jessica Verday
P.B. Kerr
Joel Holland
عزالدين شكري فشير
Joan Bauer
Naomi Wolf
Lane T. Dennis
Miklós Nyiszli
Tibère Kremer
Bruno Bettelheim
Richard Seaver
Kathryn Jackson
Byron Jackson
Gustav Tenggren
Robert Baldick
Geoffrey Wall
Mike Birbiglia
Raditya Dika
Tara Sue Me
Lauren Willig
Shūsaku Endō
William Johnston
Rachel Ward
Margot Lee Shetterly
Carl R. Rogers
Matt Ridley
Masami Tsuda
Darcy Lockman
Jack Niida
Howard Jacobson
Iris Rainer Dart
David Almond
B.J. Novak
Mary Lawson
Leslie Marmon Silko
Cliff Chiang
Matthew Wilson
Deborah Ellis
Stephen Clarke
Frantz Fanon
Richard Philcox
Homi K. Bhabha
David Kopp
Susan Massotty
Robert Jackson Bennett
Bruce Coville
Nicola Ferguson
C.S. Friedman
Alice Walker
James D. Watson
Mary Westmacott
S.M. Stirling
John Shors
Brian Coffey
Kurt Cobain
Mary Downing Hahn
Ανταίος Χρυσοστομίδης
Ελευθερία Κοψιδά
Clifford D. Simak
Henri J.M. Nouwen
Charles Wheelan
Laura Wiess
Janne Teller
Martin Aitken
Liz Kessler
Sarah Gibb
Sarah Hepola
Kelly Jones
Daniel Vozzo
Lee Loughridge
Steve Oliff
Morgan Rice
Kōbō Abe
E. Dale Saunders
Helen R. Lane
Rodney Ramos
Amy Zhang
Sheldon Vanauken
Jennifer Ashley
Stephen Hunter
Esther Earl
Lori Earl
Wayne Earl
Pauline Réage
Sabine dEstree
Kendra Elliot
Sean Patrick
Elizabeth Norris
J.G. Jones
Chris Claremont
Noam Chomsky
Edward S. Herman
Gerry Bothmer
Horace Walpole
Anne Sexton
Maxine Kumin
David Hackett Fischer
Waris Dirie
Cathleen Miller
Emily Raymond
Bill Finger
Gardner F. Fox
Bob Kane
Jerry Robinson
Sheldon Moldoff
Eric Blehm
Lisa Tawn Bergren
Bob E. Flick
Jim Gallant
Luciano Bianciardi
Erica Jong
Sarah BlakleyCartwright
David Leslie Johnson
Mireille Guiliano
Laura Whitcomb
pleasefindthis
Iain S. Thomas
Jon Ellis
Natasha Anders
Brent Curtis
William Carlos Williams
Charles Tomlinson
Ali Smith
Patricia Ingham
Lesley Livingston
Geoff Johns
Gary Frank
Jon Sibal
Brad Anderson
Manning Marable
Marlo Morgan
بهاء طاهر
Keary Taylor
Flann OBrien
Suzanne Wright
Hergé
Leslie LonsdaleCooper
Michael Turner
Anita Amirrezvani
Anne Rampling
MaryJane Knight
Uwem Akpan
Elly Griffiths
Ebba Segerberg
Jodee Blanco
Drew Karpyshyn
Gemma Burgess
Lama Surya Das
David Byrne
Jack Finney
Nicky Cruz
Jamie Buckingham
August Wilson
Richard Wurmbrand
Lynda Cohen Loigman
David Simon
Benedict Freedman
Nancy Freedman
Connor Franta
Rene Denfeld
Paul  Hoffman
Katie Cotugno
Adam Gopnik
Ann M. Martin
Tyler Hamilton
Daniel Coyle
Samad Behrangi
Robertson Davies
Catherine Bybee
L.A. Casey
Walter Lord
Donald Ray Pollock
Clare Naylor
Mimi Hare
Matthew Desmond
Genevieve Cogman
Francisco X. Stork
Tere Liye
Daniel C. Dennett
C.J. Box
Jill Alexander Essbaum
Amanda Brown
Susan Dennard
Gavin Menzies
Hope Larson
Scott Dikkers
Maria Schneider
John Krewson
Robert Siegel
Todd Hanson
Carol Kolb
Mike Loew
Tim Harrod
Will Durant
American Psychiatric Association
Black Elk
John G. Neihardt
Ben Mezrich
Sara Ryan
Tom Standage
Karen   White
Robert Hicks
Randy Alcorn
Alex Kendrick
Stephen Kendrick
Yoko Tanaka
محمد المنسي قنديل
Mohamed Mansi Qandil
Stephen R. Lawhead
Dolen PerkinsValdez
John A. Byrne
Mike Barnicle
خالد الباتلي
Anita Brookner
Emily Murdoch
Jill Murphy
Siri Hustvedt
Todd J. McCaffrey
Ken Robinson
Lou Aronica
Billy Collins
Bob Mayer
Apostolos Doxiadis
Christos H. Papadimitriou
Alecos Papadatos
Annie Di Donna
T.J. Reed
Iris Murdoch
Mary Kinzie
L. Ron Hubbard
Samuel Shem
Ayşe Kulin
John W. Baker
Keri Smith
Edward E. Ericson Jr.
Heinrich Harrer
Suzanne Weyn
Giovanni Pontiero
Robert  Beatty
George Lucas
Sarah Turnbull
Amélie Nothomb
Christopher Chabris
Daniel Simons
Steve Toltz
Charles Bernard Nordhoff
James Norman Hall
Jeff Wheeler
Johanna Lindsey
Sylvia Raphael
Christopher Prendergast
Arnaldur Indriðason
Bernard Scudder
Jess Rothenberg
April Henry
Margaret Leroy
Thomas C. Foster
Bruce Campbell
Bettina Abarbanell
Rolf Dobelli
L.D. Davis
Alfred Tennyson
Charles Keeping
Jamie Delano
John Ridgway
Alfredo Alcalá
Jane Lynch
Lisa Dickey
سلطان موسى الموسى
Walter Moers
John Brownjohn
Raymond Briggs
Winston Graham
Suetonius
Michael Grant
Abby Craden
Philip Reeve
Gemma Halliday
William Nicholson
Scarlett Thomas
Daniel Wallace
Tim Tebow
Nathan Whitaker
James Luceno
Sarah L. Delany
A. Elizabeth Delany
Amy Hill Hearth
Peter Hedges
Sarah Pinborough
Robert W. Chambers
E.F. Bleiler
Nathaniel Branden
Susan  Wilson
Charles M. Schulz
Adrian Nicole LeBlanc
Benedict Jacka
Pascal Mercier
Barbara Harshav
Martha Grimes
Melanie Rawn
Joe Sacco
Jean   Stone
Yangsze Choo
Karina Halle
Mourid Barghouti
مريد البرغوثي
Jocelyn Davies
Miles Davis
Quincy Troupe
Elizabeth Winthrop
Josh Bazell
Eric Hill
Terry McMillan
Yasunari Kawabata
Edward G. Seidensticker
Ergin Altay
Kim Gruenenfelder
Morris Gleitzman
Ilana Tan
Oprah Winfrey
Sara B. Larson
Mircea Eliade
Glen David Gold
Georges Bataille
Dovid Bergelson
Robert Hass
Christiane Northrup
Danielle L. Jensen
Willow Aster
Nella Larsen
Thadious M. Davis
Michael Reaves
Harry Bernstein
Brenna Yovanoff
Tony Hendra
Homer Hickam
Val McDermid
Perry Moore
Alex Kotlowitz
John D. Fitzgerald
Sonya Sones
Danielle Trussoni
J.S. Bernstein
Nicholas Pileggi
عباس معروفی
Anatoli Boukreev
G. Weston DeWalt
Bart D. Ehrman
Anna Gavalda
Peter Lynch
John Rothchild
Bertolt Brecht
David Hare
Justin Torres
Edmund Spenser
Thomas P. Roche
C. Patrick ODonnell
Alissa Nutting
Arthur Nersesian
Steve Alten
John OHara
Janet Ahlberg
Allan Ahlberg
Brandon Stanton
Tabitha King
Erin Gruwell
Zlata Filipović
The Freedom Writers
Fareed Zakaria
Dinah Bucholz
Bill Browder
Cat Patrick
Terry Jones
Katie Klein
Trish Doller
Glenn Greenwald
Hafez
John L. Parker Jr.
Barbara Reynolds
Amy Lichtenhan
A.L. Jackson
Grace Draven
Ronald C. White Jr.
Tonya Hurley
Barbara Delinsky
Larry Bond
Patrick Larkin
Josh KilmerPurcell
Michael Herr
Lorenzo Carcaterra
Sarah Palin
Dewey Whetsell
Forrest Carter
Richard Brautigan
Ali Novak
Fallzswimmer
Crissy Calhoun
Al Ries
Jack Trout
Laurann Dohner
David B.
Tracy Letts
Christopher Priest
Donald McCaig
Andrew Hunt
Dave Thomas
Richard Poe
أنيس منصور
Robert OKeefe
F. Murray Abraham
Michael York
Kate Nelligan
David Purdham
Audre Lorde
HyeKyung Baek
Jenna Black
Nick Cave
Jennifer Haigh
Georgia Byng
Tom Brokaw
Lynn Flewelling
Jacqueline Davies
Mary Pope Osborne
Salvatore Murdocca
Robert Venditti
José Villarrubia
Attila Futaki
W.P. Kinsella
Charles Martin
Peter Jenkins
Michael Patrick MacDonald
Toni Aleo
Steve Sheinkin
Suketu Mehta
Christine Zolendz
Bjarne Hansen
Federico García Lorca
Antonio SobejanoMoran
Paola Bianco
Joshua Lewis
Chris Heimerdinger
Jenna Jameson
Jacquelyn Frank
Katie MacAlister
Mark T. Sullivan
Nancy Tillman
J.  Daniels
Indu Sundaresan
Hanif Kureishi
Sarah Crossan
Michael J. Sandel
Leila Meacham
Mordicai Gerstein
Hillary Rodham Clinton
Esi Edugyan
Randall Wallace
Anne Michaels
Gary Ezzo
نور عبدالمجيد
Steve Coll
Jed Rubenfeld
Caroline Mustill
Clifford Harper
H.P. Mallory
Geneen Roth
William M. Hutchins
Olive E. Kenny
Frank Bettger
Billy Crystal
Jackie Collins
Cheryl McIntyre
Bill Hybels
Lavonne Neff
Teju Cole
Janice  Thompson
Al Mayton
Judith Affleck
Philip de May
Patricia E. Easterling
John     Harrison
Henry Marsh
Joel C. Rosenberg
Alice  Miller
Ruth Ward
Graham Swift
Annette Lavers
Malcolm Heath
Margot Livesey
Mary J. Gregor
Christine M. Korsgaard
Erlend Loe
Tor Ketil Solberg
Andy Andrews
John Lanchester
Linda Fairstein
Jay Winik
Julie Buxbaum
HaveYouSeenThisGirL
Jan Irene Villar
Jennifer McMahon
Debora Geary
Kady Cross
Daniel Glattauer
Tom Holland
Molly Harper
Eloisa James
Cindy C. Bennett
Dick KingSmith
Maggie Kneen
David Maxfield
Joel Fuhrman
Tessa Dare
Susan S. Adler
Renée Graef
Nancy Niles
Sebastian Barry
Greg Rucka
J.H. Williams III
Chelsea Fine
John Brunner
Gwen Cooper
Bette Greene
Gardner R. Dozois
Matthew Hughes
Michael Swanwick
David  Ball
Bradley Denton
Paul Cornell
Steven Saylor
Walter Jon Williams
Phyllis Eisenstein
Lisa Tuttle
Cara Lockwood
Kevin Malarkey
Alex Malarkey
Sarra Manning
Terry Bisson
Michael A. Stackpole
Neil Postman
Andrew Postman
Roderick Gordon
Brian  Williams
David Starkey
Donna Leon
Norman Page
Virginia M. Axline
Bohumil Hrabal
Brian Michael Bendis
Mark Bagley
M. Pierce
Hugh Fraser
Chris Crutcher
R.D. Blackmore
Michelle Allen
Robin Bailey
S.A.R.K.
William  Boyd
Alex   Sanchez
Laura A. Wideburg
Audrey Geisel
عمر طاهر
Jonathan L. Howard
Ryū Murakami
Ralph McCarthy
Jason  Matthews
Dick Winters
Cole C. Kingseed
Jennifer Rush
M.C. Beaton
Richard Siken
David McKee
Joel Osteen
Yotam Ottolenghi
E.L. Montes
Morton Rhue
Todd Strasser
Helen Hooven Santmyer
L.J. Shen
François Rabelais
M.A. Screech
Hikaru Suruga
Gan Sunaaku
Thomas Frank
Kevin Hawkes
Guy Debord
Donald NicholsonSmith
Gennifer Albin
Robert Leckie
Angie Thomas
مصطفى إبراهيم
Kentaro Miura
Jason DeAngelis
Thomas Merton
Robert Giroux
William H. Shannon
Paul Neilan
Curt Swan
George Pérez
Kurt Schaffenberger
Shelly Laurenston
Robert Andrew Parker
Alex Berenson
Jenny OConnell
G.A. Aiken
Leisa Rayven
Elizabeth Bishop
Thomas Wolfe
William McDonough
Michael Braungart
Marc Weissbluth
Monty Roberts
Lawrence Scanlan
Michael Baigent
Richard Leigh
Henry Lincoln
محمدصادق رئیسی
Nils JohnsonShelton
Eldridge Cleaver
Baruch Spinoza
Edwin M. Curley
Stuart Hampshire
Edwin Curley
Andre Norton
Megan McDonald
Sarah Lotz
Donald J. Trump
Tony Schwartz
Arianna Huffington
Julie Hockley
Mark Walden
تامر إبراهيم
Jana Oliver
James Agee
Gwen Hayes
Jean Lee Latham
Margaret Edson
James Herbert
Stephen Davis
Adolfo Bioy Casares
Suzanne Jill Levine
Ruth L.C. Simms
Norah Borges de Torre
Courtney Milan
Henry Hazlitt
Francis A. Schaeffer
Patricia Harman
Nick Flynn
Richard Llewellyn
Carol Lynch Williams
Edward Gibbon
Daniel J. Boorstin
Gian Battista Piranesi
HansFriedrich Mueller
Donald Hall
Rafael Sabatini
Les Edwards
Stephen Jones
Richard S. Kennedy
Mathias Malzieu
Daniel Quinn
Deanna Raybourn
Liesl Shurtliff
Jeremy York
Tatiana Sokolov
Elyn R. Saks
Natasha Friend
Richard Henry Dana Jr.
Amy Brown
Charles  de Lint
Martin Waddell
Patrick Benson
Stephanie Kallos
Babe Walker
Jean Anouilh
Suki Kim
Joan Aiken
Pat Marriott
Nick Bruel
Joyce Johnson
سهراب سپهری
Eva Ibbotson
Harry Harrison
W.G. Sebald
Johanna Edwards
